REP	TRAT	NDIF	TP	VC	ACAM	ST	P5V	COMPV	NGV	PG5V	PROD
1	21	45	2	3	4	52	23.3	108	67	15.2	442.7
2	21	46	1	4	2	47	18.4	97	85	13.8	183.7
3	21	41	1	3	2	57	24.6	102	70	15.7	540.1
4	21	45	2	4	2	66	11	78	50	9.4	513.8
1	22	46	2	3	2	35	22.3	99.2	68	16.4	253.7
2	22	45	2	3	4	52	17.5	81	62	13	97.9
3	22	45	2	3	4	52	23.3	108	67	15.2	442.7
4	22	45	3	2	3	54	19.8	106	62	15	165.3
1	23	45	1	4	2	54	20.2	98.9	78	15.5	528.6
2	23	46	1	4	2	49	20.8	99	66	15.4	90.3
3	23	45	2	3	3	49	22.7	99	63	14.7	240.7
4	23	47	1	3	3	57	19	86	57	13.7	376.6
1	24	46	3	4	4	43	22.5	92	71	13.7	270.1
2	24	43	1	3	4	57	16.9	92	67	13.3	400.4
3	24	45	1	3	2	65	16.9	90	62	13.7	439.8
4	24	46	2	3	3	67	20.3	85	69	16.6	209.2
1	25	43	3	3	3	47	16.9	84	66	12.6	259.6
2	25	38	1	4	2	39	19	86	68	14	364.1
3	25	40	1	4	2	62	17.6	93	67	12.9	408
4	25	40	1	4	2	60	16.2	91	75	12.1	521.4
1	26	44	3	3	3	30	19.7	108	74	14	89.9
2	26	40	2	3	3	38	16	98	52	11	422
3	26	40	2	3	3	54	16.9	103	63	12.4	550.7
4	26	40	2	3	3	50	16.3	98	58	11.8	454.9
1	27	40	3	3	4	38	14.2	88	58	9.3	510.5
2	27	40	1	4	2	28	15.2	97	68	12.1	716.3
3	27	40	2	3	3	56	19.7	109	72	16.4	1016.2
4	27	40	1	3	4	68	18.8	96	54	13	529.8
1	28	37	1	3	2	28	21.2	103	71	15.9	412.1
2	28	40	2	3	3	32	14	92	67	11.5	723.9
3	28	40	1	3	3	26	15.8	96	63	12.6	605.8
4	28	40	2	3	3	61	16.1	102	56	12.4	560.7
1	29	40	2	3	3	45	17.6	96	64	13	586.7
2	29	40	1	2	3	49	15.4	95	61	11.6	657.1
3	29	40	3	2	4	32	16.4	92	58	12.8	330.5
4	29	40	2	2	4	62	16.4	94	58	11.5	463
1	30	40	3	2	4	27	18.3	98	71	13.1	268.1
2	30	38	3	3	4	43	19.1	101	69	13.9	561.4
3	30	40	2	3	3	50	19.6	111	68	15.4	672.6
4	30	40	3	2	4	60	15.9	92	60	14.4	606.2
1	31	41	1	4	1	25	14.4	86	63	11.8	562.1
2	31	40	1	3	2	56	11.4	75	56	8.9	785.9
3	31	40	1	3	2	52	14.1	89	63	11.3	663.9
4	31	40	1	3	4	69	16.4	100	64	15.2	785
1	32	40	1	2	3	20	15.9	91	62	12.1	470
2	32	38	1	3	3	34	22	112	74	16.7	369.1
3	32	40	1	3	3	43	16.4	94	55	13.2	656.3
4	32	40	1	3	4	69	16.9	103	68	13.7	688.2
1	33	41	1	4	1	46	13.6	82	59	11.2	622.6
2	33	40	1	3	2	21	16.6	96	70	13.6	392
3	33	40	1	3	2	69	16.2	94	69	13.4	728.4
4	33	43	1	4	2	57	17.7	81	62	13	389.1
1	34	40	1	2	2	26	14.9	89	59	11.2	378.5
2	34	40	1	3	2	52	14.6	96	56	11.2	614.8
3	34	38	1	4	2	55	19	103	74	15.2	951.4
4	34	40	1	3	2	41	15	88	61	12.9	917
1	35	41	1	3	2	42	17.1	100	72	13.2	363.4
2	35	40	2	3	3	43	14.9	99	65	11	579.7
3	35	40	1	3	3	48	15.9	99	72	12.5	707.2
4	35	40	1	3	2	57	20.4	103	80	16.1	550.2
1	36	37	1	3	2	22	18.3	100	66	14.2	443.1
2	36	38	1	4	3	57	16.9	92	67	13.3	400.4
3	36	40	1	2	3	44	15.7	96	50	11.7	392.2
4	36	40	2	2	4	60	17.3	97	61	13.2	223.9
1	37	44	2	2	3	30	20	106	66	14.7	269.1
2	37	38	3	2	4	20	19.9	106	64	15	477
3	37	40	3	3	5	31	20.2	111	67	15.2	579.1
4	37	42	3	3	3	56	17.8	99	57	13.8	486.6
1	38	45	2	3	3	40	13.9	83	52	10	231.3
2	38	40	2	3	4	50	12.8	72	52	10.2	724
3	38	40	1	4	2	76	14.8	89	50	10.4	434.1
4	38	42	1	3	2	65	15.1	81	59	12.4	380.8
1	39	40	1	3	2	30	14.5	79	53	12	437.7
2	39	38	1	2	2	27	14	80	41	11.3	261.3
3	39	40	1	3	2	39	17.1	88	50	12.2	168.3
4	39	40	1	3	2	43	14.8	69	48	12.3	541.9
1	40	41	1	3	2	47	18	98	69	14.1	879
2	40	40	1	3	3	47	18.3	99	68	14.6	700
3	40	38	1	3	4	33	16.4	1	55	109	789.6
4	40	40	1	3	3	51	18	1.01	56	131	646.4

