"REP","TRAT","NDIF"
1,21,45
2,21,46
3,21,41
4,21,45
1,22,46
2,22,45
3,22,45
4,22,45
1,23,45
2,23,46
3,23,45
4,23,47
1,24,46
2,24,43
3,24,45
4,24,46
1,25,43
2,25,38
3,25,40
4,25,40
1,26,44
2,26,40
3,26,40
4,26,40
1,27,40
2,27,40
3,27,40
4,27,40
1,28,37
2,28,40
3,28,40
4,28,40
1,29,40
2,29,40
3,29,40
4,29,40
1,30,40
2,30,38
3,30,40
4,30,40
1,31,41
2,31,40
3,31,40
4,31,40
1,32,40
2,32,38
3,32,40
4,32,40
1,33,41
2,33,40
3,33,40
4,33,43
1,34,40
2,34,40
3,34,38
4,34,40
1,35,41
2,35,40
3,35,40
4,35,40
1,36,37
2,36,38
3,36,40
4,36,40
1,37,44
2,37,38
3,37,40
4,37,42
1,38,45
2,38,40
3,38,40
4,38,42
1,39,40
2,39,38
3,39,40
4,39,40
1,40,41
2,40,40
3,40,38
4,40,40
