IND,GY,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
1,6.25,2,1,0,0,0,0,0,1,1,1,0,0
2,3.00,1,1,1,1,1,2,2,2,2,0,0,1
3,3.00,1,2,2,2,2,1,1,1,1,2,2,2
4,4.00,1,0,0,0,0,0,0,0,0,1,2,2
5,3.00,0,0,1,1,1,1,1,1,1,1,1,1
6,3.75,1,0,0,0,0,1,1,1,1,0,0,0
7,8.25,2,2,2,1,1,0,0,0,0,1,2,2
8,2.50,0,0,0,0,0,0,0,1,1,1,1,2
9,4.25,1,0,1,1,1,1,1,0,0,1,1,1
10,4.50,0,1,1,1,1,1,1,1,0,0,0,0
11,6.00,1,1,2,2,2,1,1,1,1,1,1,0
12,3.25,2,1,1,1,1,1,1,1,1,1,1,1
13,5.50,2,1,2,1,1,2,2,1,1,1,1,1
14,7.25,1,1,1,2,2,2,2,2,1,1,1,1
15,5.50,1,2,2,2,2,2,2,2,2,2,2,2
16,4.00,1,1,1,1,1,1,1,1,1,1,1,1
17,2.75,1,1,1,1,1,1,0,0,0,0,0,0
18,7.50,2,2,2,2,2,2,2,1,0,0,0,0
19,6.00,0,0,0,0,0,0,0,1,1,1,1,1
20,4.75,2,1,1,1,1,1,1,1,1,1,0,0
21,2.75,0,1,1,1,1,0,1,1,1,0,0,0
22,5.50,2,1,1,1,1,0,0,0,0,0,0,0
23,1.75,1,1,1,1,1,1,2,2,2,2,2,2
24,5.00,1,1,1,2,2,1,1,0,0,0,0,0
25,4.00,2,2,1,1,1,1,1,1,1,1,1,1
26,4.00,1,2,2,2,2,2,0,0,0,0,0,0
27,2.00,0,1,1,1,1,1,1,2,2,2,2,2
28,3.00,0,1,2,2,2,1,1,0,0,1,1,1
29,4.75,2,1,1,1,1,0,0,0,0,0,1,1
30,3.75,2,0,0,0,0,1,1,1,1,1,1,1
31,5.75,1,2,2,2,2,2,2,2,2,2,2,2
32,8.00,2,1,1,1,1,0,1,2,1,1,1,1
33,3.00,1,0,0,1,1,2,2,2,1,1,1,0
34,2.25,1,1,1,0,0,0,0,0,1,1,1,1
35,3.50,1,1,1,1,1,2,2,2,2,2,2,2
36,6.75,0,1,1,1,1,0,0,0,0,0,0,0
37,2.25,1,2,2,2,2,1,1,1,1,1,1,2
38,3.50,1,1,1,1,1,1,1,1,1,2,2,2
39,6.25,1,1,1,0,0,0,0,0,0,0,0,0
40,1.50,0,1,1,1,1,0,0,0,0,1,1,1
41,3.50,1,1,1,1,1,1,1,1,1,1,1,1
42,4.00,2,2,2,2,2,2,2,2,2,2,2,2
43,6.25,2,2,2,2,2,2,2,2,2,1,1,1
44,3.00,1,2,2,2,2,1,1,1,1,1,2,2
45,7.25,2,2,2,1,1,0,1,1,1,1,1,1
46,1.75,0,0,0,0,0,0,1,1,1,2,1,1
