Tratamento Rep Producao
1 1 832.57863721072
2 1 1412.91786541975
3 1 1167.23400222658
4 1 1734.7823686165
5 1 1126.96659611911
6 1 741.867893323617
7 1 1347.55031143999
8 1 1306.3510982781
9 1 1194.71209571089
10 1 883.034903364832
1 2 948.325600176519
2 2 1196.21228505287
3 2 1511.4330438013
4 2 1090.66268582848
5 2 938.565158344382
6 2 388.739092365991
7 2 1348.27495096219
8 2 1328.20209749973
9 2 1592.75725803291
10 2 1640.01679269321
1 3 1157.08318011162
2 3 1589.55411786322
3 3 1200.39406426678
4 3 997.076977294326
5 3 945.54102093436
6 3 1095.91766987777
7 3 1268.24383290812
8 3 1191.77957891667
9 3 1260.26333717551
10 3 1259.68280154684
